CourseCode,CourseName,Department,Duration,BlockType,Credits,GradeLevels,Prerequisites,IsAdvanced,Description,PeriodsRequired,WorkloadLevel
70277,Drones in Aviation,Aviation,Full Year,Block,1,"11,12",,false,This course will educate students enough to pass the Level 1 Certification test on their journey to becoming a certified Surveyor. Students will also learn drone technology. Besides the obvious use of drones in our society they are starting to be used in surveying and other industrial applications. Students will ultimately earn a drone pilot’s license/certification to be able to legally fly drones.,1,3
70278S,Flight and Aircraft Systems (Skinny),Aviation,Full Year,Skinny,1,"10,11,12",70279S,false,"This course will introduce students to basic aircraft and UAS structures and their major components, principles of flight, and the fundamental physical laws affecting flight. Students will learn about basic aerodynamics and forces that act on aircraft in flight. This course will also introduce the main systems found on large and small airplanes and UAS.",1,3
70280,Piloting and Weather,Aviation,Full Year,Block,1,"11,12",70278S,false,"This course will include topics such as: pilot and aircraft qualifications, principles of flight, aerodynamics, spin awareness, flight maneuvers, pre- and post-flight procedures, airport operations, regulations, safety, weather, aircraft systems, weight and balance, human factors, cockpit management, emergency procedures, night operations, aeronautical decision-making, cross-country flight planning, airspace, and other topics that help prepare students for the Federal Aviation Administration's Private Pilot written exam.",1,3
15891,Career Internship,Business & Marketing,Full Year,Block,1,"11,12","24166S,15861,15312,15312S",false,"This class serves as a work experience for students. Students use their job as a chance to learn basic workplace skills. Students will meet minimally for this class, instead, students will be released to work a job. Students will be required to work 15 hours per week at a job and should have a job before the start of the class.",1,3
15861,Career Portfolio,Business & Marketing,Full Year,Block,0.5,"11,12",,false,"This class aims to prepare all students for the world beyond the classroom. Students will develop a digital portfolio, concentrating on work they have completed in class pertaining to career paths they are interested in. This class will focus on curriculum-based career awareness, exploration, planning, and preparation leading to a realistic individualized career plan. Contents of the portfolio would include, but are not limited to: strength and weaknesses analysis and profile, resume and cover letter, job shadow and work experiences, interview mastery, career plan, and self-reflection.",1,3
15141,Hospitality,Business & Marketing,Full Year,Block,0.5,"9,10,11,12",,false,"Students will be introduced to the basics of hospitality and customer service. Take a look at business interactions through tourism, restaurant operation, hotel management, recreation, and event planning. Students will have an opportunity to act as a “host” for the class. This includes preparing an appropriate food item, serving the class, and teaching a hospitality topic. Students also create a menu, participate in a restaurant simulation, create a marketing plan for a town’s tourism, and act as an event planner. This course prepares students for two and four year post-secondary education.",1,3
15719,HSB Business Economics,Business & Marketing,Full Year,Block,0.5,"9,10,11,12",15711,false,"Ever thought about how economics impacts businesses and consumers? In Business Economics, you will consider how decisions affect business and individuals in the short and long term. You will also conduct research and examine local business problems, such as vacant lots in Oconomowoc, as you learn about microeconomics, macroeconomics and international economic concepts.",1,3
15727,HSB Entrepreneurship Capstone,Business & Marketing,Full Year,Block,1,"11,12","15701,15713",true,"Here’s where it all comes together. In this course you will run your own business. Using the knowledge you gained in previous High School of Business™ courses, you’ll start by writing a real business plan. Then you’ll put that plan to action by opening and operating a business. You will tackle problems real business professionals face, such as supervising staff, keeping financial records, evaluating results, and much more. Along the way you’ll find out how the areas of a company (marketing, finance, management, operations, etc.) work together.",1,5
15701,HSB Finance and Accounting,Business & Marketing,Full Year,Block,0.5,"10,11,12",15711,false,"This course furthers student understanding of two specific business activities - accounting and finance - that were introduced in an earlier high school business course, Principles of Business. Through team activities and a term-long investment project, students make connections between accounting and finance. Students acquire an understanding of financial statements, calculate financial ratios, and make corporate financial management decisions based on their analysis of that financial data. In addition, students apply the concepts of operating and overhead costs, internal accounting controls, and budgets to their prospective business. Lastly cost/benefit analysis is introduced as an element of financial planning and decision-making.",1,3
15711,HSB Principles of Business,Business & Marketing,Full Year,Block,0.5,"9,10,11,12",,false,"What do your favorite band’s tour schedule, the logo on your latte, and Google have in common? Business it’s everywhere. Principles of Business will open your eyes to the world of business. During the course you will be introduced to some of the major areas of business administration (marketing, management, and finance) through fun, real world projects. The learner will participate in class and small group discussions, reinforce business concepts through project based modules, develop business analysis, conduct an environmental scan of the business world, and investigate business activities.",1,3
15713,HSB Principles of Marketing,Business & Marketing,Full Year,Block,0.5,"10,11,12",15711,false,"This project-based business course develops student understanding and skills in such areas as channel management, marketing-information management, market planning, pricing, product/service management, promotion, and selling. Students will create a marketing plan for an original product or service",1,3
15312,IB Personal and Professional Skills 1: Career Portfolio,Business & Marketing,Full Year,Block,0.5,"11,12",,false,"This course emphasizes critical thinking, personal and interpersonal development, problem solving and the acquisition of practical skills related to the field of engineering, business, and biomedical sciences. This course will explore four key areas: Thinking – critical and creative thinking as well as a requirement to explore ethical dimensions, Communication – with an emphasis on formal communication skills including writing and presenting, Intercultural Understanding – moving from an awareness of your own culture and other cultures to active engagement with people from other cultures, and Personal Development – developing the transferable skills young people require in employment and higher learning. This course is a requirement for students pursuing the International Baccalaureate Career-related Certificate and it is suggested that students take the course during the second semester of their Junior Year.",1,3
15312S,IB Personal and Professional Skills 1: Career Portfolio (Skinny),Business & Marketing,Full Year,Skinny,0.5,"11,12",,false,"This course emphasizes critical thinking, personal and interpersonal development, problem solving and the acquisition of practical skills related to the field of engineering, business, and biomedical sciences. This course will explore four key areas: Thinking – critical and creative thinking as well as a requirement to explore ethical dimensions, Communication – with an emphasis on formal communication skills including writing and presenting, Intercultural Understanding – moving from an awareness of your own culture and other cultures to active engagement with people from other cultures, and Personal Development – developing the transferable skills young people require in employment and higher learning. This course is a requirement for students pursuing the International Baccalaureate Career-related Certificate and it is suggested that students take the course during the second semester of their Junior Year.",1,3
15313,IB Personal and Professional Skills 2,Business & Marketing,Full Year,Block,0.5,12,"15312,15312S",false,"Part 2 of the IB Personal and Professional This course builds on the critical thinking, personal and interpersonal development, problem solving from IB Personal and Professional Skills 1. This course will focus on students applying these skills to work specific to their industry of study (Engineering, Biomedical, or Business). Students will also use this course as a resource to complete their reflective projects. This course is a requirement for students pursuing the International Baccalaureate Career-related Certificate and should be completed during the first semester of their Senior Year.",1,3
15313S,IB Personal and Professional Skills 2 (Skinny),Business & Marketing,Full Year,Skinny,0.5,12,"15312,15312S",false,"Part 2 of the IB Personal and Professional This course builds on the critical thinking, personal and interpersonal development, problem solving from IB Personal and Professional Skills 1. This course will focus on students applying these skills to work specific to their industry of study (Engineering, Biomedical, or Business). Students will also use this course as a resource to complete their reflective projects. This course is a requirement for students pursuing the International Baccalaureate Career-related Certificate and should be completed during the first semester of their Senior Year.",1,3
15210S,Introduction to Accounting (Skinny),Business & Marketing,Full Year,Skinny,0.5,"9,10,11,12",,false,"This class is designed to give students an introductory look at financial accounting. Accounting is one of the basic foundations of business. This class will help students to explore how businesses manage their money. With this exposure, students will better understand business as a whole.",1,3
15801,Marketing Internship,Business & Marketing,Full Year,Block,0.5,"11,12","15713,15587",false,"This course is meant to serve as a capstone course for students on a Marketing pathway. Students will work on various marketing projects for the district and/or the athletic department. Students can potentially work with teachers, coaches, and club advisors to create content and manage their social media accounts. Students will be responsible for meeting with the clients, either virtually or in person, communicating deadlines, and meeting with the client to make edits until they are satisfied with the final product.",1,3
15801S,Marketing Internship (Skinny),Business & Marketing,Full Year,Skinny,0.5,"11,12","15713,15587",false,"This course is meant to serve as a capstone course for students on a Marketing pathway. Students will work on various marketing projects for the district and/or the athletic department. Students can potentially work with teachers, coaches, and club advisors to create content and manage their social media accounts. Students will be responsible for meeting with the clients, either virtually or in person, communicating deadlines, and meeting with the client to make edits until they are satisfied with the final product.",1,3
15601,Personal Finance,Business & Marketing,Full Year,Block,0.5,"10,11,12",,false,"This course introduces the discipline of personal financial planning as an occupation, as well as many of the topics concerning personal financial planning engagements. The topics that will be covered include banking and saving, types of loans, how to pay off debt, credit scores and reports, insurance basics, investing strategies, budgeting and taxes.",1,3
15601S,Personal Finance (Skinny),Business & Marketing,Full Year,Skinny,0.5,"10,11,12",,false,"This course introduces the discipline of personal financial planning as an occupation, as well as many of the topics concerning personal financial planning engagements. The topics that will be covered include banking and saving, types of loans, how to pay off debt, credit scores and reports, insurance basics, investing strategies, budgeting and taxes.",1,3
15587,Sports & Entertainment Marketing,Business & Marketing,Full Year,Block,0.5,"10,11,12",,false,"Sports Marketing is a course designed to introduce students to marketing in the world of sports and entertainment. Students will learn the essentials of marketing, while focusing on innovative trends in the sports industry. We will focus our discussion on branding, sponsorship activation, social media, fan engagement, and media relations. This class aims to be engaging and active to involve students in real-world scenarios in and out of the classroom.",1,3
15211S,TC College Accounting,Business & Marketing,Full Year,Block,1,"10,11,12",15210S,false,"This class is designed to give students an advanced look at accounting as a function of business. Students will be exposed to a college course in accounting. Students will be pushed to really reflect on the information. They will also be asked to make business decisions based on accounting numbers. After successfully completing this class, students will have advanced standing in a collegiate business program.",1,3
15094,TC Microsoft Excel,Business & Marketing,Full Year,Block,0.5,"9,10,11,12",,false,"This course is designed for students who want to learn to use the leading financial software packages used in the business world. After completion of this course, students will be able to create and edit Excel spreadsheets and create advanced tables and charts to bring business numbers to life. Students will have the opportunity to earn both Basic and Advanced Excel MOS certifications.",1,3
15093,TC Microsoft Word and PowerPoint,Business & Marketing,Full Year,Block,0.5,"9,10,11,12",,false,"This course is designed for students who want to learn to use Microsoft Office 365, one of the leading software programs preferred by many businesses and home users. After completion of this course, students will be able to create and edit Word documents and PowerPoint presentations. Students will also learn many advanced features of the programs that will give them a head start in the business world. Students will have the opportunity to earn both Basic and Advanced Word MOS certifications and Powerpoint MOS certification.",1,3
24435S,AP Research (Skinny),College Readiness,Full Year,Skinny,1,"11,12",24430S,true,"AP Research, the second course in the AP Capstone experience, allows students to deeply explore an academic topic, problem, issue, or idea of individual interest. Students design, plan, and implement a yearlong investigation to address a research question. Through this inquiry, they further the skills they acquired in the AP Seminar course by learning research methodology, employing ethical research practices, and accessing, analyzing, and synthesizing information. Students reflect on their skill development, document their processes, and curate the artifacts of their scholarly work through a process and reflection portfolio. The course culminates in an academic paper of 4,000–5,000 words (accompanied by a performance, exhibit, or product where applicable) and a presentation with an oral defense.",1,5
24430S,AP Seminar (Skinny),College Readiness,Full Year,Skinny,1,"10,11",,true,"AP Capstone™ is an innovative diploma program from College Board that equips students with the independent research, collaborative teamwork, and communication skills that are increasingly valued by colleges. AP Capstone is built on the foundation of two AP® courses—AP Seminar and AP Research—and is designed to complement and enhance the in-depth, discipline-specific study experienced in other AP courses. AP Seminar is a foundational course that engages students in cross-curricular conversations that explore the complexities of academic and real-world topics and issues by analyzing divergent perspectives. Using an inquiry framework, students practice reading and analyzing articles, research studies, and foundational, literary, and philosophical texts; listening to and viewing speeches, broadcasts, and personal accounts; and experiencing artistic works and performances. Students learn to synthesize information from multiple sources, develop their own perspectives in written essays, and design and deliver oral and visual presentations, both individually and as part of a team. Ultimately, the course aims to equip students with the power to analyze and evaluate information with accuracy and precision in order to craft and communicate evidence-based arguments.",1,5
24166S,AVID 10 (Skinny),College Readiness,Full Year,Skinny,1,10,24156S,false,"The AVID 10 course continues with the AVID curriculum, advances to more rigorous individual and small-group instruction in support of all the student’s academic courses, and college-awareness activities. Instructional emphasis is on writing skills and helping students to successfully write for college. Students continue to receive instruction and practice using Method Test Prep: ACT online prep. Students are given guidance and support in preparation for enrollment in AP classes. AVID tutorials meet individual and group needs for real-time academic support through teacher or tutor-led collaborative work. Tutors serve as role models and as sources of information about college life and expectations. By the end of this course, students are expected to enroll in one or more AP and/or IB courses.",1,3
24176S,AVID 11 (Skinny),College Readiness,Full Year,Skinny,1,11,24166S,false,"The AVID 11 course is an elective class for students who are college bound. To ensure success in college-prep courses, students work independently as well as in teacher or tutor-led collaborative groups. Note taking, outlining, writing, speaking, reading, test-taking strategies, ACT preparation, and self-awareness are stressed. The course provides college motivational and career exploration activities. Students use problem solving and decision-making skills. In addition, students work independently and with others in a variety of settings using critical thinking skills to organize information acquired from a variety of sources such as electronic technology and research.",1,3
24186S,AVID 12 (Skinny),College Readiness,Full Year,Skinny,1,12,24176S,false,"The AVID Senior course is the culmination of the students’ years in the AVID program. Like all AVID courses, it encompasses WICOR, rigorous AVID curriculum, and tutors. The course involves substantial critical reading and writing as well as preparation for Socratic Seminars. Students working with tutors are expected to eventually act as moderators for Socratic Seminars or act as tutors for the AVID 9 or 10 classes. Students receive support in test-readiness for exams such as AP and International Baccalaureate (IB). Students enrolled in AVID 12 are required to complete timed writings and analytical discourses in subjects across the curriculum. In addition, students are required to make presentations on topics related to college admissions, contemporary issues, and social concerns. During this course, students are expected to apply for admission to several colleges and/or universities.",1,3
24156S,AVID 9 (Skinny),College Readiness,Full Year,Skinny,1,9,,false,"The AVID grade 9 course is an elective class for college bound students. It provides academic, tutorial, career goal planning, and social support for students through the AVID curriculum with strategic focus on Writing, Inquiry, Collaboration, Organization, and Reading (WICOR). To ensure success in college-prep courses, students work independently and as partners, as well as in teacher and tutor-led collaborative groups. Note-taking, outlining, writing, speaking, reading, test-taking strategies, maintaining organized binders, self-awareness, and preparation for ACT are stressed. Students receive introductory information and direction regarding AP and/or IB classes and may participate in AP and/or IB classes. In addition, the AVID course includes college motivational activities.",1,3
24210S,College Prep 10 (Skinny),College Readiness,Full Year,Skinny,0.5,10,,false,"Students will investigate college in the context of their overall life goals, discuss college characteristics and how they can find the schools that fit best, explore and practice college application and admissions requirements, and prepare to grow as a student who will be ready to start college. ACT test taking skills and strategies will be a primary focus of the 10th grade College Prep course.",1,3
24211S,College Prep 11 (Skinny),College Readiness,Full Year,Skinny,1,11,,false,"Students will investigate college in the context of their overall life goals, discuss college characteristics and how they can find the schools that fit best, explore and practice college application and admissions requirements, and prepare to grow as a student who will be ready to start college. ACT test taking skills and strategies will be a primary focus of the 11th grade College Prep course.",1,3
24209S,College Prep 9 (Skinny),College Readiness,Full Year,Skinny,0.5,9,,false,"This course is designed to provide students with specific, practical skills that will demonstrate effective ways to read/write in English and math courses - study, organize, take notes, and prepare for tests/quizzes. Students will build upon their organization skills and be taught strategies to be successful students on the path to college.",1,3
24924S,"IB Creativity, Activity, and Service (CAS) (Skinny)",College Readiness,Full Year,Skinny,0.5,"11,12",,false,Being an active participant in school beyond academics contributes to each student’s life-readiness.,1,3
24930S,IB Extended Essay (Skinny),College Readiness,Full Year,Skinny,0.5,12,,false,"This two-part course runs in a non-traditional format with students attending a series of workshops during the junior & senior years. This unique opportunity has students explore an academic area in which they have a personal interest. With the guidance of a supervisor, students develop important transferable skills such as research, critical thinking, and self-management. Emphasis is placed on engagement and reflection on the research process. Students produce an independently written research paper that aligns with IB Extended Essay assessment criteria.",1,3
20150S,AP Computer Science A (Skinny),Computer Science,Full Year,Skinny,1,"10,11,12",20125S,true,"The AP-Computer Science A course is a follow-up to AP-Computer Science Principles. This new course is intended for Engineering or Computer Science majors who will take further object-oriented programming courses in college. If students earn a 3, 4, or 5 on the AP exam, they will get credit at most colleges for a required Computer Science course and/or be able to immediately take higher-level courses.",1,5
20125S,AP® Computer Science Principles (Skinny),Computer Science,Full Year,Skinny,1,"9,10,11,12",45061,true,"This course will introduce students to the creative aspects of programming, abstractions, algorithms, large data sets, the Internet, cybersecurity concerns, and computing impacts. AP Computer Science Principles also gives students the opportunity to use current technologies to create computational artifacts for both self-expression and problem-solving.",1,5
20129S,Computer Science Discoveries (Skinny),Computer Science,Full Year,Skinny,0.5,"9,10",,false,"This is an introductory computer science course that empowers students to create authentic artifacts and engage with computer science as a medium for creativity, communication, problem-solving, and fun.",1,3
20132S,TC Security 1 (Skinny),Computer Science,Full Year,Skinny,0.5,"10,11,12",20125S,false,Cybersecurity has become a global arms race that governments and industries alike are fighting together. Students will learn how to diagnose security problems and implement solutions. They will also earn transcripted credit through WCTC and begin preparations for the CompTIA Security+ certification.,1,3
20163,Tech Internship,Computer Science,Full Year,Block,1,"10,11,12",20125S,false,Interested in a career in technology? Gain on the job training and experience while in high school!,1,3
20163S,Tech Internship (Skinny),Computer Science,Full Year,Skinny,1,"10,11,12",20125S,false,Interested in a career in technology? Gain on the job training and experience while in high school!,1,3
72012,Digital Media,Digital Communications,Full Year,Block,1,"10,11,12",,false,"Step into the future of communication! Digital Media is the dynamic first course in Oconomowoc High School’s Digital Communications Pathway, designed for curious and creative 10th–12th graders. Whether you're interested in social media, video production, design, or storytelling, this hands-on class gives you the tools to turn ideas into impactful digital content.",1,3
72507,Digital Productions,Digital Communications,Full Year,Block,0.5,"10,11,12","25042,25041",false,"This course offers experiences in the many careers available in production from editor, narrator/commentator, videographer, video and computer generated effects specialist, screenwriter/journalist and creative director. This is a 9-week course which can be taken several times throughout your time at OHS. This course allows you to focus on productions around the school for events, sports, clubs, announcements and so much more. You select your pathway during the course and focus your time solely on that career exploration selection.",1,3
72594,Literature and Film Theory,Digital Communications,Full Year,Block,1,"11,12","25042,25041",false,"Literature & Film Theory is the study of perspectives, storytelling, events, and documented thoughts through film. Students will share ideas by using literary inspiration to bring their creations to life. Literature & Film Theory is designed to introduce students to the study of various techniques used to bring the written word to the screen. Students will study elements of film, which will be supported through the practice of writing for different audiences and purposes. Through this work, students will analyze multiple interpretations of story, drama, and films to evaluate how each version accomplishes its core message. Students will develop characters, include symbolism, and illustrate stories to connect to a variety of media and texts. Students produce original scripts and storyboards for each of their films. Students follow models for design and process for building productions within each genre of film. Films range in genre from simple beginnings to complex-organized ideas which allow all film makers to develop substantive topics and relevant material to be shared for a universal audience. Students analyze a variety of literature through the lens of an audience member, film producer, and critic specifically attentive to character traits and relationships, storyline and progression, reactions, and director techniques and decision making.",1,3
72520,Seminar Digital Communications,Digital Communications,Full Year,Block,2,"11,12","25042,25041",false,"Seminar Digital Communications is a semester-long capstone course that has students investigate real-world issues. SDC has three main parts: Camp IMPACT (field explorations to many local businesses), professional projects, and multimedia presentations. It is highly suggested for students to take Literature & Film Theory prior to Seminar Digital Communications or concurrently. This course may be taken concurrently with third English requirement.",1,3
72491,Yearbook S1,Digital Communications,Full Year,Block,1,"11,12",,false,"Students will have an opportunity to see all the elements of the production of the yearbook come together. As part of the production team, students will plan, design and create layouts, write copy, take photographs, and produce the final yearbook pages using Jostens online software. Students will be responsible for photography assignments as well as page production projects and skills assessments. See Ms. Jonas for more information on how to apply for a leadership role (Editor).",1,3
72492,Yearbook S2,Digital Communications,Full Year,Block,1,"11,12",,false,"Students will have an opportunity to see all the elements of the production of the yearbook come together. As part of the production team, students will plan, design and create layouts, write copy, take photographs, and produce the final yearbook pages using Jostens online software. Students will be responsible for photography assignments as well as page production projects and skills assessments. See Ms. Jonas for more information on how to apply for a leadership role (Editor).",1,3
30142,Education Internship,Education,Full Year,Block,0.5,"11,12","65155S,65153,30121,30136",false,"Students will work with a mutually agreed upon OASD teacher and their classroom. Typically students in this course are preparing for a career in teaching with classroom activities including, but not limited to: one-on-one or small group student help, correcting student work (at elementary and middle schools), creating student projects and instructional tools, and preparing teaching materials. This course prepares students for two and four year post-secondary education. Students will work in the field four days per week and meet one day per week with their classmates in a cohort model. Students must provide their own transportation to their internship location.",1,3
30121,TC Child Development,Education,Full Year,Block,0.5,"9,10,11,12",,false,"Students will address the fundamentals of teaching methodologies, learning styles, factors influencing teaching effectiveness, strategies to meet the needs of all learners, questioning techniques, basic assessment practices, and issues affecting our schools today.",1,3
30136,TC Foundations of Early Childhood Education (ECE),Education,Full Year,Block,0.5,"10,11,12",,false,"An introduction to the early childhood profession, competencies include: integrate strategies that support diversity and anti-bias perspectives; investigate history of early childhood education; summarize types of early childhood education settings; identify components of a quality early childhood education program; summarize responsibilities of early childhood education professionals; explore early childhood curriculum models.",1,3
25042,Accelerated English 10,English,Full Year,Block,1,10,"25032,25031",false,"Accelerated English 10 is meant for students who have already demonstrated a strong foundation with writing, reading, and speaking skills. Students looking to join the Accelerated English 10 course should be prepared to participate actively in daily discussions, write effectively and coherently to express complex thoughts and think critically about the various perspectives literature offers. Students in this course will apply grammatical, rhetorical, and vocabulary skills to showcase how language functions in different contexts. They will be able to apply these skills to discussion, presentation, and the written word. This course is recommended for students who are planning to take future AP and IB English courses.",1,3
25032,Accelerated English 9,English,Full Year,Block,1,9,,false,"Accelerated English 9 is meant for students who have already demonstrated a strong foundation with writing, reading, and speaking skills. Students looking to join the Accelerated English 9 course should be prepared to participate actively in daily discussions, write effectively and coherently to express complex thoughts, and think critically about the various perspectives literature offers. Students in this course will apply grammatical, rhetorical, and vocabulary skills to showcase how language functions in different contexts. They will be able to apply these skills to discussion, presentation, and the written word. This course is recommended for students who are planning to take future AP and IB English courses.",1,3
25620,AP® English Language & Composition,English,Full Year,Block,1,"11,12","25042,25041",true,The AP® English Language and Composition course requires students to become skilled readers of prose written in a variety of rhetorical contexts and skilled writers who compose for a variety of purposes. Students who took English 11 as their required 11th grade option may take AP Language as their 4th English credit.,1,5
25815,AP® English Literature & Composition,English,Full Year,Block,1,12,"25620,25575,25843S",true,"AP® English Literature & Composition consists of a full academic year of intense work in reading, analyzing, and writing about a variety of novels, short stories, nonfiction, dramas, and poetry. Expectations are comparable to courses in colleges and universities. Students have the opportunity to earn college credit, depending on their scores on the AP® Lit exam in May. The class is designed for the student who has excellent writing skills, a strong reading ability, and a powerful grasp of literature. Students will be expected to read and analyze two books from a recommended reading list before the spring semester begins.",1,5
25653,Contemporary Nonfiction,English,Full Year,Block,0.5,"11,12","25042,25041",false,"This course gives students the opportunity to explore material in various areas of nonfiction, such as memoir, personal essay, journalistic writing, or standard nonfiction texts. The course addresses issues of voice, scene, point of view, and theme, as well as any other elements of nonfiction writing that will emerge from individual manuscripts. By the end of the course, students should develop the terminology and the critical skills for understanding nonfiction and should develop a good understanding about issues and trends in the genre. This course may be taken concurrently with third English requirement.",1,3
25633,Creative Writing,English,Full Year,Block,0.5,"10,11,12","25032,25031",false,"Creative writing is a writing intensive course intended to give students a chance to work with both the writing and reading of many different genres of literature, including poetry, prose in fiction and non-fiction, and/or drama. Students will work rigorously both in and outside of class to prepare for reading and writing assignments. They will keep a daily writing journal and work on several long-term, in-depth writing projects. It is suggested that students obtain a proficient level of knowledge in literary terms, as well as have some writing experience, prior to taking the course. This is a class for those who have a passion for writing and desire to enhance their craft. This course may be taken concurrently with English 10 or third English requirement.",1,3
72507,Digital Productions,English,Full Year,Block,0.5,"10,11,12","25042,25041",false,"This course offers experiences in the many careers available in production from editor, narrator/commentator, videographer, video and computer generated effects specialist, screenwriter/journalist and creative director. This is a 9-week course which can be taken several times throughout your time at OHS. This course allows you to focus on productions around the school for events, sports, clubs, announcements and so much more. You select your pathway during the course and focus your time solely on that career exploration selection.",1,3
25041,English 10,English,Full Year,Block,1,10,"25032,25031",false,"English 10 is the second course in the English sequence – it is to be taken following completion of English 9 and before any subsequent English class. The study of American literature is emphasized in this course, with a strong focus on literary elements. Students are also engaged in a thorough study of various respected short stories and the elements of fiction pieces that comprise this genre. Students will be required to complete research for at least one composition. They will be able to apply these skills to discussion, presentation, and the written word.",1,3
25575,English 11,English,Full Year,Block,1,11,"25042,25041",false,"Students in English 11 will study poetry, drama, essays, short stories, and novels from authors all over the world. Students will have a variety of opportunities to do both creative and expository writing, which will incorporate grammar instruction. Students will also be required to research and present information in informal and formal settings. In addition, students will continue to learn appropriate uses of technology.",1,3
